ImageID,OriginalURL,OriginalLandingURL,XMin,YMin,XMax,YMax,Labels
314a7f3b3ab412da,https://c3.staticflickr.com/4/3080/3120551005_b8401baeb1_o.jpg,https://www.flickr.com/photos/25692668@N06/3120551005/in/photolist-5KPT2S-5KKD6x-5KPSWf-5KKD82-jXe2g,0.634375,0.065833,0.876875,0.6,/m/016vt9
853f3ae87b498774,https://farm5.staticflickr.com/4037/4204811520_1dac686ff5_o.jpg,https://www.flickr.com/photos/31442518@N08/4204811520,0.578637,0.541667,0.831791,0.91,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.445312,0.684896,0.521484,0.869792,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.195312,0.776042,0.273438,0.910156,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.299805,0.703125,0.388672,0.89974,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.576172,0.670573,0.652344,0.845052,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.702148,0.703125,0.801758,0.829427,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.375977,0.716146,0.391602,0.751302,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.452148,0.675781,0.477539,0.703125,/m/016vt9
709cad4cafcc8be5,https://farm6.staticflickr.com/7143/6580160973_67e3a35d7d_o.jpg,https://www.flickr.com/photos/tourisme-fumelois-lemance_vallee-du-lot/6580160973,0.641602,0.690104,0.657227,0.71875,/m/016vt9
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.455357,0.65896,0.690476,0.811175,/m/01sdgj
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.110119,0.672447,0.318452,0.749518,/m/01sdgj
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.422619,0.651252,0.669643,0.793834,/m/01sdgj
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.0,0.003854,0.991071,0.984586,/m/01sdgj
003c30b02d4fb5a5,https://farm6.staticflickr.com/49/105458579_632f633bff_o.jpg,https://www.flickr.com/photos/idogcow/105458579,0.139881,0.707129,0.467262,0.843931,/m/01sdgj
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.004375,0.355833,0.68,0.726667,/m/01sdgj
000749422e6e4b04,https://farm5.staticflickr.com/8594/15943608342_cc0c26ebcc_o.jpg,https://www.flickr.com/photos/peterblu/15943608342/,0.005,0.0,0.999375,0.999167,/m/01sdgj
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.45875,0.4606,0.543125,0.999062,/m/01sdgj
006afe56d09e8a25,https://farm6.staticflickr.com/5263/5611560314_2e42776cee_o.jpg,https://www.flickr.com/photos/moneyblognewz/5611560314,0.775,0.439962,0.800625,0.50469,/m/01sdgj
c2c4cf750c4a5d84,https://farm5.staticflickr.com/1113/991225797_bf71989d9f_o.jpg,https://www.flickr.com/photos/azrainman/991225797,0.064453,0.589844,0.255859,0.955729,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.053631,0.130726,0.640223,0.950838,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.109497,0.332961,0.394413,0.87486,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.16648,0.367598,0.256983,0.473743,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.239106,0.132961,0.455866,0.392179,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.051397,0.145251,0.643575,0.953073,/m/016vt9
00008d167563158c,https://c5.staticflickr.com/6/5055/5400541754_534ef77ce1_o.jpg,https://www.flickr.com/photos/mihalorel/5400541754,0.092737,0.468156,0.406704,0.859218,/m/016vt9
0bbfc9b67116f18a,https://c3.staticflickr.com/3/2676/4163883801_514efe3599_o.jpg,https://www.flickr.com/photos/hiddenloop/4163883801,0.058511,0.048125,0.611702,0.79125,/m/016vt9
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.0,0.075188,0.4,0.817043,/m/01sdgj
14a298d2c16a010d,https://c6.staticflickr.com/8/7225/13363060845_fff9cb0709_o.jpg,https://www.flickr.com/photos/32737303@N02/13363060845,0.123333,0.045113,0.995,0.847118,/m/01sdgj
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.65,0.275,0.81,0.45375,/m/0d7pp
4005405cc957686e,https://c7.staticflickr.com/4/3489/3290357796_5659ce2848_o.jpg,https://www.flickr.com/photos/ericwahlforss/3290357796/,0.0,0.0,0.858333,0.99875,/m/0d7pp
008e21d5e838a182,https://farm3.staticflickr.com/7362/12143702774_a483434d82_o.jpg,https://www.flickr.com/photos/donaldmctim/12143702774,0.315625,0.014062,0.721875,0.976562,/m/01sdgj
01be6a665e5786ae,https://c7.staticflickr.com/8/7422/9871859223_1a41ddd938_o.jpg,https://www.flickr.com/photos/dlr_de/9871859223,0.238125,0.447467,0.321875,0.871482,/m/02wvcj0
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.098462,0.13099,0.273846,0.904153,/m/09vh0m
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.233846,0.102236,0.387692,0.792332,/m/09vh0m
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.353846,0.070288,0.492308,0.699681,/m/09vh0m
00d7e221b663f166,https://farm7.staticflickr.com/4059/4357076130_5328309262_o.jpg,https://www.flickr.com/photos/gsi-r/4357076130,0.566154,0.204473,0.909231,0.744409,/m/09vh0m
07c0246d01aaee79,https://c2.staticflickr.com/9/8421/7678533158_9f4e68ec9a_o.jpg,https://www.flickr.com/photos/transitomedellin/7678533158,0.099698,0.036939,0.924471,0.74934,/m/02wvcj0
0089d4a84c4a3cd1,https://farm2.staticflickr.com/7191/6862203253_0f36f59a5b_o.jpg,https://www.flickr.com/photos/usfwshq/6862203253,0.075625,0.274859,0.5025,0.80394,/m/016vt9
0089d4a84c4a3cd1,https://farm2.staticflickr.com/7191/6862203253_0f36f59a5b_o.jpg,https://www.flickr.com/photos/usfwshq/6862203253,0.471875,0.296435,0.803125,0.82833,/m/016vt9
0089d4a84c4a3cd1,https://farm2.staticflickr.com/7191/6862203253_0f36f59a5b_o.jpg,https://www.flickr.com/photos/usfwshq/6862203253,0.06875,0.272983,0.498125,0.805816,/m/016vt9
0089d4a84c4a3cd1,https://farm2.staticflickr.com/7191/6862203253_0f36f59a5b_o.jpg,https://www.flickr.com/photos/usfwshq/6862203253,0.463125,0.283302,0.81375,0.87242,/m/016vt9
0263bbdae7cd7509,https://c2.staticflickr.com/1/723/21353720682_edb9679e5c_o.jpg,https://www.flickr.com/photos/109430286@N06/21353720682,0.494375,0.82833,0.5775,0.954034,/m/02wvcj0
05fc158105531b11,https://farm2.staticflickr.com/5484/14411165808_e38c02817f_o.jpg,https://www.flickr.com/photos/abaecherliphotography/14411165808,0.642902,0.766729,0.913071,0.999375,/m/02wvcj0
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.0,0.629167,0.413146,0.991667,/m/01sdgj
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.692488,0.466667,0.78169,0.720833,/m/01sdgj
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.007042,0.666667,0.373239,0.9875,/m/01sdgj
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.131455,0.483333,0.258216,0.7125,/m/01sdgj
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.537559,0.691667,0.997653,0.979167,/m/01sdgj
026ba6d39e5c803a,https://c3.staticflickr.com/9/8197/8262125614_254ae280a4_o.jpg,https://www.flickr.com/photos/globalai/8262125614,0.0,0.4875,0.058685,0.625,/m/01sdgj
