ImageID,XMin,YMin,XMax,YMax,Labels
000002b66c9c498e,0.0125,0.148438,0.195312,0.5875,/m/096mb
000002b66c9c498e,0.025,0.714063,0.276563,0.948438,/m/096mb
000002b66c9c498e,0.151562,0.198437,0.310937,0.590625,/m/096mb
000002b66c9c498e,0.25625,0.651563,0.429688,0.925,/m/096mb
000002b66c9c498e,0.257812,0.235938,0.346875,0.385938,/m/096mb
000002b66c9c498e,0.320312,0.260938,0.36875,0.328125,/m/096mb
000002b66c9c498e,0.4125,0.120312,0.945312,0.475,/m/096mb
000002b66c9c498e,0.528125,0.675,0.923437,0.964063,/m/096mb
000002b66c9c498e,0.064062,0.889063,0.492188,0.99375,/m/096mb
000002b66c9c498e,0.301562,0.4625,0.990625,0.595312,/m/096mb
000002b66c9c498e,0.3125,0.351562,0.578125,0.464063,/m/096mb
000002b66c9c498e,0.523438,0.66875,0.928125,0.98125,/m/096mb
000002b66c9c498e,0.525,0.664062,0.920313,0.976562,/m/096mb
000002c707c9895e,0.053085,0.319846,0.464849,0.839114,/m/0bwd_0j
000018acd19b4ad3,0.094727,0.002928,0.483398,0.916545,/m/0bwd_0j
000018acd19b4ad3,0.480469,0.111274,0.806641,0.701318,/m/0bwd_0j
000018acd19b4ad3,0.571289,0.171303,0.740234,0.42899,/m/0bwd_0j
00001bcc92282a38,0.00625,0.084428,0.5325,0.999062,/m/0bwd_0j
00001bcc92282a38,0.004375,0.69137,0.22,0.999062,/m/0bwd_0j
00001bcc92282a38,0.181875,0.085366,0.37625,0.452158,/m/0bwd_0j
0000201cd362f303,0.25,0.236398,0.395,0.729831,/m/0bwd_0j
0000201cd362f303,0.014375,0.499062,0.05125,0.585366,/m/0bwd_0j
0000201cd362f303,0.038125,0.456848,0.105,0.535647,/m/0bwd_0j
0000201cd362f303,0.045625,0.537523,0.1675,0.678236,/m/0bwd_0j
0000201cd362f303,0.10625,0.456848,0.16125,0.530019,/m/0bwd_0j
0000201cd362f303,0.16375,0.499062,0.20875,0.545028,/m/0bwd_0j
0000201cd362f303,0.70875,0.355535,0.808125,0.450281,/m/0bwd_0j
0000201cd362f303,0.586875,0.266417,0.6825,0.591932,/m/0bwd_0j
0000201cd362f303,0.020625,0.382739,0.115,0.491557,/m/0bwd_0j
0000201cd362f303,0.253125,0.249531,0.399375,0.687617,/m/0bwd_0j
0000201cd362f303,0.5875,0.322702,0.69375,0.622889,/m/0bwd_0j
0000201cd362f303,0.701875,0.26454,0.818125,0.637899,/m/0bwd_0j
