,Path,XMin,YMin,XMax,YMax,ImageID
2332,2554.png,0.036667,0.023333,0.98,0.95,092c9764cf66cfc4
1512,1655.png,0.00293,0.054688,0.197266,0.515625,0242b82d966c25c8
1519,1662.png,0.768555,0.345052,0.999023,0.783854,0242b82d966c25c8
2339,2561.png,0.26,0.143,0.357,0.337,000af631fb329557
2238,2448.png,0.56875,0.141207,0.77125,0.249037,090be8149aa10e63
319,336.png,0.390625,0.093897,0.621875,0.600939,0747097f650f1273
570,612.png,0.00375,0.864407,0.02625,0.919021,1c5ef6c1f1a07fc7
903,979.png,0.055556,0.29085,0.27451,0.808824,cd7b3621c53d1ffe
754,802.png,0.39375,0.406667,0.771875,0.824167,01bbf1b6a15a4917
1302,1427.png,0.0,0.247438,0.445312,0.967789,0000f53faa4d14c3
574,616.png,0.12125,0.43597,0.26,0.56968,1c5ef6c1f1a07fc7
82,89.png,0.59875,0.708333,0.61125,0.74,009fe379015d01ee
2267,2477.png,0.125,0.285848,0.40625,0.564199,079aeeda986b8dd9
1330,1457.png,0.01,0.053254,0.359375,0.9714,00a2fb1fb083da68
629,671.png,0.29625,0.0,0.88625,0.990593,0051a014205dd1f6
1513,1656.png,0.00293,0.544271,0.265625,0.998698,0242b82d966c25c8
389,415.png,0.15625,0.175422,0.485,0.886492,143f78f4150ae63d
1434,1575.png,0.63,0.453333,0.82625,0.731667,009fe379015d01ee
1805,1970.png,0.185625,0.0,0.693125,0.622889,0068bcb4b206c6f9
1551,1694.png,0.0,0.0,0.811111,0.997863,5274ebb5f42fb82c
436,465.png,0.279375,0.487896,0.5175,0.664804,00268794e47eba14
880,943.png,0.098537,0.0675,0.88,0.96125,ab89902aca7023c3
1015,1103.png,0.034375,0.12,0.978125,0.988571,00c0d1d91d662186
2248,2458.png,0.055556,0.29085,0.27451,0.808824,cd7b3621c53d1ffe
450,481.png,0.0,0.0,0.999375,0.998829,021bac9b06827b82
1449,1590.png,0.695312,0.618182,0.877344,0.966234,8467c3cf0b323a87
2394,2623.png,0.57125,0.727955,0.77375,0.999062,0230ff5703d20b38
2027,2208.png,0.405625,0.30394,0.644375,0.595685,0098915ff17c199c
2530,2765.png,0.723437,0.06698,0.767187,0.164512,0081d67c4cfc9134
789,837.png,0.263125,0.17236,0.778125,0.940994,83a742751dc5a7c1
1845,2021.png,0.745625,0.295833,0.9925,0.721667,02ce218553cc3f15
1850,2026.png,0.83875,0.428333,0.881875,0.4625,02ce218553cc3f15
764,812.png,0.70125,0.649167,0.999375,0.999167,00274a1dc0fd7e4d
1332,1459.png,0.0,0.077861,0.999375,0.999062,01c769c93ed93275
2282,2494.png,0.0,0.309605,0.148125,0.682486,00efe4b4aa33acf5
1488,1631.png,0.291875,0.043333,0.70125,0.999167,00137de5b77904f3
2076,2257.png,0.465,0.574917,0.499375,0.618202,00a2ad9365afcd7e
1335,1470.png,0.0,0.444375,0.999329,0.999375,002a1fb97133ae95
1228,1343.png,0.0,0.922139,0.11625,0.993433,00018457a4aafe75
1983,2160.png,0.00875,0.0,0.999375,0.449343,003df9e04b7ba316
124,131.png,0.483333,0.528889,0.595,0.597778,02ecd01295b4e555
2476,2707.png,0.410625,0.737918,0.54875,0.999071,01dd21053307de4c
2341,2563.png,0.42,0.354,0.654,0.646,000af631fb329557
122,129.png,0.405,0.555556,0.51,0.628889,02ecd01295b4e555
1557,1701.png,0.28268,0.312091,0.785948,0.962418,1166bfacb4b9a810
486,517.png,0.33,0.139191,0.37875,0.227048,00758c10b2da2954
83,90.png,0.6025,0.661667,0.625,0.706667,009fe379015d01ee
1690,1849.png,0.619141,0.341642,0.693359,0.461877,0023b0e23b369b8d
336,361.png,0.66375,0.00469,0.99625,0.881801,0027717ee5abd636
1339,1474.png,0.24375,0.35,0.996875,0.8020833,50db36cf0e7a9b63
2100,2282.png,0.53,0.506667,0.65375,0.693333,01bbf1b6a15a4917
985,1073.png,0.443023,0.207018,0.576744,0.968421,0996fb0dcf9fefcd
494,525.png,0.281346,0.04,0.730887,0.8525,00ffeb10cf731b9f
2306,2519.png,0.631805,0.0,0.998567,0.452778,0472436657d66fa6
1288,1406.png,0.616013,0.124183,0.836601,0.388889,c068a5e73c806c4c
1534,1677.png,0.389375,0.516432,0.549375,0.766197,009d14093fc2adb9
199,208.png,0.155556,0.663889,0.402778,0.951852,0359b5b2e2f0bfcb
